Compania,Seccion_CIIU,Clasificacion_Tamaño,Año,Razon_Liquidez,Prueba_Acida,Razon_Efectivo,Deuda_Activos_pct,Deuda_Capital_pct,Deuda_Neta_EBITDA,ZScore_Altman,ROA_pct,ROE_pct,Margen_Operacional_pct,Margen_Neto_pct,Margen_EBITDA_pct,Activos_Totales,Pasivos_Totales,Patrimonio_Total,Ingresos_Operativos,Utilidad_Neta,EBIT,Capital_Trabajo,Contrib_X1_2021,Contrib_X2_2021,Contrib_X3_2021,Contrib_X4_2021,Zona_ZScore,Cluster_Label,Contrib_X1_2022,Contrib_X2_2022,Contrib_X3_2022,Contrib_X4_2022,Contrib_X1_2023,Contrib_X2_2023,Contrib_X3_2023,Contrib_X4_2023,Contrib_X1_2024,Contrib_X2_2024,Contrib_X3_2024,Contrib_X4_2024
Diana Corporacion S.A.S,C – Industria manufacturera,Grande,2021,1.0600,0.4500,0.0200,55.2200,185.8900,5.9500,1.1600,3.6900,12.4100,4.1100,2.1300,5.2600,958330.8000,673685.5700,284645.2300,1686351.8300,35325.3300,68175.8200,34136.7300,0.2337,0.1395,0.4781,0.4436,Zona Alerta,Perfil moderado,,,,,,,,,,,,
Asociacion Mutual La Esperanza De El Tambo,Q – Salud y servicios sociales,Grande,2021,0.2600,0.2600,0.0200,6.8300,-2.7700,-0.1000,-22.4800,1.8100,-0.7300,-3.6800,0.2400,-2.8900,302833.0300,1048420.4000,-745587.3800,2253300.3700,5467.6500,-82839.5600,-650072.2500,-14.0819,-7.7690,-1.8382,-0.7467,Zona Quiebra,Perfil moderado,,,,,,,,,,,,
Cerrejon Zona Norte S.A.,C – Industria manufacturera,Grande,2021,4.8600,3.8800,3.0200,1.0000,1.4100,-0.9000,6.7400,11.8200,16.6700,52.3400,29.4200,62.5300,5049293.9300,1471532.2800,3577761.6500,2010590.6100,596565.2400,1061165.2100,1517679.6400,1.9718,0.8167,1.4123,2.5529,Zona Segura,Alto desempeño,,,,,,,,,,,,
Geopark Colombia Sas,B – Explotación de minas y canteras,Grande,2021,0.6400,0.6200,0.1600,3.2200,9.3000,0.0100,2.0500,15.9700,46.2000,60.0600,27.0300,69.3200,3290166.0100,2152852.7100,1137313.2900,2093532.2900,525418.9800,1167445.7400,-226631.9800,-0.4519,0.5206,2.3844,0.5547,Zona Segura,Alto desempeño,,,,,,,,,,,,
Renault Sociedad de Fabricacion de Automotores S.A.S.,C – Industria manufacturera,Grande,2021,1.0100,0.4000,0.2700,24.8800,73.1000,0.4800,1.4200,9.0500,26.5900,3.8200,2.7500,5.4300,781221.2400,515404.5700,265816.6700,2556542.4800,70669.8800,98128.1000,4910.5200,0.0412,0.0577,0.8441,0.5415,Zona Alerta,Perfil moderado,,,,,,,,,,,,
Colgate Palmolive Compania,C – Industria manufacturera,Grande,2021,1.1600,0.7100,0.2600,6.0800,14.6900,-0.5500,3.1500,5.5100,13.3400,5.1100,3.2500,7.2500,920819.8700,540091.1900,380728.6800,1601909.7400,50768.5600,79772.7900,74630.7000,0.5317,1.3546,0.5822,0.7402,Zona Segura,Perfil moderado,,,,,,,,,,,,
Pricesmart Colombia S A S,G – Comercio al por mayor y menor,Grande,2021,1.1100,0.2900,0.1300,5.4700,11.3400,0.2700,1.3900,1.6800,3.4900,2.2600,0.9800,4.4900,974418.0000,504359.8300,470058.1700,1665231.6500,16402.8100,37701.8300,30025.7600,0.2021,0.0706,0.2600,0.9786,Zona Alerta,Perfil moderado,,,,,,,,,,,,
Clinica Colsanitas S A,Q – Salud y servicios sociales,Grande,2021,0.9800,0.9600,0.0900,24.9600,60.7700,1.4800,1.2700,5.8500,14.2400,7.8100,4.3800,9.8800,1181215.0500,696079.9600,485135.1000,1577754.2400,69061.3300,123235.1400,-13170.3100,-0.0731,0.0085,0.7011,0.7318,Zona Alerta,Perfil moderado,,,,,,,,,,,,
Esenttia S.A.,C – Industria manufacturera,Grande,2021,2.2400,1.5200,0.0900,0.7300,0.9700,-0.1900,6.9100,10.4400,13.9600,4.8600,8.9100,6.2800,3293521.3400,830130.7500,2463390.5900,3870580.4600,344015.1800,187755.0200,943978.3900,1.8802,1.0580,0.3831,3.1158,Zona Segura,Alto desempeño,,,,,,,,,,,,
Falabella de Colombia S A,V – Otra,Grande,2021,1.0500,0.4500,0.2100,28.2200,146.8800,1.5400,0.3400,2.8500,14.8500,2.9000,1.9300,7.3600,1483130.6400,1198162.5400,284968.1000,2213635.1600,42310.4400,63571.2900,37486.2500,0.1658,-0.3030,0.2880,0.2497,Zona Quiebra,Perfil moderado,,,,,,,,,,,,
Italcol de Occidente S.A.,C – Industria manufacturera,Grande,2021,1.6600,0.9000,0.0400,0.0200,0.0400,-0.0700,4.9300,13.4300,25.6600,5.9900,4.0700,6.7400,510233.9900,243150.2800,267083.7200,1689059.3900,68543.7500,100861.9600,157583.6900,2.0260,0.4665,1.3284,1.1534,Zona Segura,Perfil moderado,,,,,,,,,,,,
Pollos El Bucanero S.A.,A – Agricultura y ganadería,Grande,2021,1.0200,0.6700,0.1000,55.1000,157.5000,9.4400,-0.2600,-2.1900,-6.2600,0.5400,-2.0900,5.1000,1464247.6400,952043.1700,512204.4600,1546084.5900,-32059.7600,8224.6400,15591.0000,0.0698,-0.6756,0.0377,0.5649,Zona Quiebra,Perfil moderado,,,,,,,,,,,,
Cerro Matoso S A,B – Explotación de minas y canteras,Grande,2021,1.7700,1.2400,0.9200,0.0000,0.0000,-0.4500,6.4900,23.6400,42.7500,40.0600,26.7500,46.5500,2655474.0000,1187181.0000,1468293.0000,2350928.0000,627743.0000,940056.0000,412966.0000,1.0202,1.7889,2.3789,1.2986,Zona Segura,Alto desempeño,,,,,,,,,,,,
Amarilo S A S,F – Construcción,Grande,2021,1.4300,0.3600,0.1100,40.2200,129.7700,10.2600,2.2700,1.6600,5.3400,6.7200,3.4900,6.9600,2773037.2700,1913469.2300,859568.0400,1325233.8700,45919.7100,88325.1100,686851.5700,1.6248,0.0399,0.2140,0.4717,Zona Alerta,Perfil moderado,,,,,,,,,,,,
Solla S.A.,C – Industria manufacturera,Grande,2021,1.2700,0.7000,0.2700,40.6600,111.7900,2.0900,2.9000,9.2800,25.5300,5.1400,4.3600,5.9600,942472.8500,599680.9700,342791.8700,2028275.5800,87508.4400,103207.7900,132725.7400,0.9238,0.5152,0.7359,0.6002,Zona Segura,Perfil moderado,,,,,,,,,,,,
